カード種別, 持続, 枚数, 名称, 効果
   通常, 単発, 5, 在庫処分, 任意の枚数の素材カードを山札に戻し、いれた枚数だけドローする。
   通常, 単発, 5, 経営の合理化, 自分のこのターン内の1種の合成に対して発動できる。それぞれの合成について、利益を１増やす。
   通常, 単発, 5, ヒット化！, 1ターン内の全ての合成に対して発動できる。それぞれの合成について、利益を１増やす。
   通常, 永続, 5, 独占市場, 他のプレイヤーは、このカードを発動したプレイヤーがこのターンに行った合成と同種の合成ができない。
   通常, 永続, 5, 新手法の発明, このターンの合成１種を対象に発動できる。このターン以降、対象にした合成の利益を+1する。
   通常, 永続, 5, 特許申請, 新手法の発明の対象となった合成を対象に発動できる。他のプレイヤーが同種の合成を行うたびに、そのプレイヤーの利益を３もらう。
割り込み, 単発, 5, 独占禁止法, 1つの独占市場を対象に発動できる。その独占市場を破壊する。
割り込み, 単発, 5, 行政指導, プレイヤー1人を対象に発動できる。そのターンは一切の合成ができなくなる。
割り込み, 単発, 5, 原材料費高騰, 全ての合成について、合成に使用したカードの枚数だけ追加でコストを払う。
割り込み, 単発, 5, 工場の抜き打ち検査, 他のプレイヤーが合成を行った時に発動できる。このターン、そのプレイヤーはその合成を行えない。
割り込み, 単発, 5, 需要の低迷, 全プレイヤーは１ターンに1つの合成しか行えない。
割り込み, 単発, 5, ﾈｶﾞﾃｨﾌﾞｷｬﾝﾍﾟｰﾝ, 他のプレイヤーの利益を５下げる。
