合成名, 素材
n型半導体, ケイ素.リン
p型半導体, アルミニウム.ケイ素
鉛筆, 炭素
青銅, スズ.銅
黄銅, 銅.亜鉛
白銅, 銅.ニッケル
石膏, 硫酸.カルシウム
電球, タングステン.銅
食塩, ナトリウム.塩素
食塩, 塩素.ナトリウム
肥料, カリウム.リン.窒素
白金, 場にある限り合成したターンの利益を+1する
はんだ, スズ.鉛
トタン, 亜鉛.鉄
ブリキ, スズ.鉄
マッチ, リン
水銀燈, 水銀
メタン, 水素.炭素
銀時計, 銀.銅.亜鉛
造影剤, 硫酸.バリウム
融雪剤, カルシウム.塩酸
鉄鋼弾, タングステン
にがり, マグネシウム.塩素
ガラス, ケイ素.ナトリウム
発煙筒, ストロンチウム.硝酸
はんだ, スズ.鉛
ブリキ, 鉄.スズ
メタン, 炭素.水素
ガラス, カリウム.ナトリウム
鉛蓄電池, 硫酸.鉛
アルミ缶, アルミニウム
白色絵具, チタン
さらし粉, カルシウム.塩素
高速度鋼, タングステン.鉄
黒色火薬, カリウム.炭素.硝酸
スチール缶, 鉄
アンモニア, 水素.窒素
鉄道レール, 鉄.マンガン
ニクロム線, クロム.ニッケル
ミョウバン, アルミニウム.硫酸.カリウム
消臭スプレー, 銀
鉄道のレール, マンガン.鉄
形状記憶合金, チタン.ニッケル
リチウム電池, マンガン.リチウム
ステンレス鋼, 鉄.クロム.ニッケル
マンガン電池, 塩素.亜鉛.マンガン
ジュラルミン, 銅.アルミニウム.マグネシウム.マンガン
レッドゴールド, 金.銅
ホワイトゴールド, 銀.金
ナトリウムランプ, ナトリウム
ニッケル水素電池, ニッケル.水素.カリウム
ダイヤモンド, 炭素.炭素.炭素.炭素
