元素, 価格, 合成先
鉛, 3, はんだ(スズと合成).鉛蓄電池(硫酸と合成)
鉄, 2, ブリキ(スズと合成).トタン(亜鉛と合成).ステンレス鋼(クロムとニッケルと合成).鉄道のレール(マンガンと合成).スチール缶(鉄のみで合成)
銅, 3, 黄銅(亜鉛と合成).青銅(スズと合成).白銅(ニッケルと合成).ジュラルミン(アルミニウムとマグネシウムとマンガンから合成).レッドゴールド(金と合成)
銀, 3, 消臭スプレー(銀のみで合成).銀時計(銀、黄銅と合成).ホワイトゴールド(金と合成)
金, 6, レッドゴールド(銅と合成).ホワイトゴールド(銀と合成)
亜鉛, 3, トタン(鉄と合成).黄銅(銅と合成).マンガン電池(マンガンと塩素と合成)
水素, 1, アンモニア(窒素と合成).メタン(炭素と合成).ニッケル・水素蓄電池(ニッケル・カリウムと合成)
窒素, 1, アンモニア(水素と合成).肥料(カリウムとリンと合成)
リン, 1, 肥料(カリウムと窒素から合成).マッチ(リンのみで合成)
塩素, 2, 食塩(ナトリウムと合成).にがり(マグネシウムと合成).さらし粉(カルシウムと合成).マンガン電池(亜鉛とマンガンと合成)
硝酸, 1, 黒色火薬(カリウムと炭素と合成).発煙筒(ストロンチウムと合成)
硫酸, 1, ミョウバン(アルミとカリウムと合成).石膏(カルシウムと合成).造影剤(バリウムと合成).鉛蓄電池(鉛と合成)
炭素, 1, 鉛筆(炭素のみで合成).メタン（水素と合成).黒色火薬（カリウムと硝酸と合成)
スズ, 3, ブリキ(鉄と合成).青銅(銅と合成).はんだ(鉛と合成)
水銀, 4, 水銀燈(水銀のみで合成)
白金, 6, 場にある限り、合成したターンの利益を+1する
チタン, 7, 白色絵具(チタンのみで合成).形状記憶合金(ニッケルと合成)
ケイ素, 1, ガラス(ナトリウムと合成).n型半導体(リンと合成).p型半導体(アルミと合成)
クロム, 4, ステンレス鋼(鉄とニッケルと合成).ニクロム線(ニッケルと合成)
リチウム, 3, リチウム電池(マンガンと合成)
バリウム, 2, 造影剤(硫酸と合成)
マンガン, 4, マンガン電池(亜鉛と塩素と合成).鉄道のレール(鉄と合成).ジュラルミン(マグネシウムとアルミと銅と合成).リチウム電池(リチウムと合成)
ニッケル, 3, 形状記憶合金(チタンと合成).ステンレス鋼(鉄とクロムと合成).ニッケル・水素電池(水素とカリウムと合成).白銅(銅と合成).ニクロム線(クロムと合成)
カリウム, 1, 黒色火薬(炭素と硝酸と合成).肥料(リンと窒素で合成).ガラス（ナトリウムと合成).ミョウバン(アルミと硫酸と合成)
バリウム, 2, 造影剤(硫酸と合成)
カルシウム, 2, 石膏(硫酸と合成).融雪剤(塩酸と合成).さらし粉(塩素と合成)
ナトリウム, 1, 食塩(塩素と合成).ガラス(ケイ素と反応).ナトリウムランプ(ナトリウムのみで合成)
タングステン, 4, 高速度鋼(鉄と合成).電球(銅と合成).鉄鋼弾(タングステンのみで合成)
アルミニウム, 1, ミョウバン(硫酸とカリウムと合成).ジュラルミン(マグネシウムと銅とマンガンから合成).アルミ缶(アルミのみで合成).p型半導体(ケイ素と合成)
マグネシウム, 2, にがり(塩素と合成).ジュラルミン(アルミと銅とマンガンと合成)
ストロンチウム, 2, 発煙筒(硝酸と合成)
